"Counts_List","sample_id_ori","Estimated Number of Cells","Mean Reads per Cell","Median Genes per Cell","Number of Reads","Valid Barcodes","Sequencing Saturation","Q30 Bases in Barcode","Q30 Bases in RNA Read","Q30 Bases in Sample Index","Q30 Bases in UMI","Reads Mapped to Genome","Reads Mapped Confidently to Genome","Reads Mapped Confidently to Intergenic Regions","Reads Mapped Confidently to Intronic Regions","Reads Mapped Confidently to Exonic Regions","Reads Mapped Confidently to Transcriptome","Reads Mapped Antisense to Gene","Fraction Reads in Cells","Total Genes Detected","Median UMI Counts per Cell","Date","Project","sample_id","Done","Agg","Status","molecule_h5","root","Disk","CountsFolder","Final_Folder","FileNameAggr","FileNameMetrics","Metrics"
1,"P16-ND",7034,5245,929,36898072,98.2,7.8,95,84.7,93.9,93.9,95.4,93.6,2.9,19.2,71.5,69.9,0.6,93.2,17232,2788,NA,"ALCAT_Mouse","P16_ND","Sean",NA,NA,"/media/jianie/Seagate_SequencingFiles_1/20190613_NextSeq_fastq_Counts/P16-ND/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20190613_NextSeq_fastq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20190613_NextSeq_fastq_Counts/P16-ND/outs/metrics_summary.csv"
2,"Buttons_Marmoset",8792,3133,300,27547862,97.8,3.2,93.5,82.9,90.4,92.2,92.8,84.6,33.9,18.5,32.2,25.6,0.8,91.9,14834,475,NA,"Marmoset","Buttons","Sean",NA,NA,"/media/jianie/Seagate_SequencingFiles_1/20190717_NextSeq_fastq_Counts/Buttons_Marmoset/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20190717_NextSeq_fastq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20190717_NextSeq_fastq_Counts/Buttons_Marmoset/outs/metrics_summary.csv"
3,"76632_V5",8083,22637,3049,182971487,97.1,26.8,94.7,92.3,NA,94,94.9,87.9,8.3,60.4,19.2,68.7,8.9,80.7,27922,7788,20211117,"SGLT2","76632_V5","Jia","no",NA,"/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76632_V5/outs/molecule_info.h5","/media/jianie/","SequencingFiles_3","20211105_L3_L4_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76632_V5/outs/metrics_summary.csv"
4,"STARR_049",8068,27918,2748,225241675,97.5,39.3,94.5,93.3,NA,93.8,96.5,89.7,7.9,61.7,20.2,73.2,6.5,77.7,27314,6466,20211117,"STARR","STARR_049","Jia","no",NA,"/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/STARR_049/outs/molecule_info.h5","/media/jianie/","SequencingFiles_3","20211105_L3_L4_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/STARR_049/outs/metrics_summary.csv"
5,"76632_V11",5695,35331,1836,201208589,97.8,46.3,94.8,92.7,NA,94.3,94.7,87.2,8.6,57.8,20.7,68.2,8.4,69.3,27178,3147,20211117,"SGLT2","76632_V11","Jia","no",NA,"/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76632_V11/outs/molecule_info.h5","/media/jianie/","SequencingFiles_3","20211105_L3_L4_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76632_V11/outs/metrics_summary.csv"
8,"76643_V5",1950,13096,1234,25537895,97.9,17.7,94.8,91.2,NA,94.3,92.4,84.5,8.5,56.8,19.3,66.5,7.6,70,23478,1858,20211117,"SGLT2","76643_V5","Jia","no",NA,"/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76643_V5/outs/molecule_info.h5","/media/jianie/","SequencingFiles_3","20211105_L3_L4_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76643_V5/outs/metrics_summary.csv"
9,"76647_V5",12284,52159,3086,640719935,97.1,36.9,94.5,90.1,NA,93.9,84.5,75.2,8.2,51.2,15.8,56,9.4,66.4,29363,7499,20211117,"SGLT2","76647_V5","Jia","no",NA,"/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76647_V5/outs/molecule_info.h5","/media/jianie/","SequencingFiles_3","20211105_L3_L4_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76647_V5/outs/metrics_summary.csv"
10,"STARR_051",9335,36848,2688,343972393,97.6,42.3,94.4,93,NA,93.6,94.5,88.4,8.1,59.7,20.6,68.5,9.8,65.3,27862,6055,20211117,"STARR","STARR_051","Jia","no",NA,"/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/STARR_051/outs/molecule_info.h5","/media/jianie/","SequencingFiles_3","20211105_L3_L4_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/STARR_051/outs/metrics_summary.csv"
11,"76649_V5",17856,54384,2072,971077397,96.7,66.5,94.7,92.6,NA,94,95.6,90.4,7.4,60.8,22.2,53.7,27.9,83,29916,3844,20211117,"SGLT2","76649_V5","Jia","no",NA,"/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76649_V5/outs/molecule_info.h5","/media/jianie/","SequencingFiles_3","20211105_L3_L4_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76649_V5/outs/metrics_summary.csv"
12,"76638_V5_Muscle",15564,31676,1305,492998128,96.7,65.5,95.3,91.8,NA,94.7,88.7,68.3,5.1,43.4,19.8,57.5,4.2,55.5,26332,2310,20211117,"SGLT2","76638_V5_Muscle","Jia","no",NA,"/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76638_V5_Muscle/outs/molecule_info.h5","/media/jianie/","SequencingFiles_3","20211105_L3_L4_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76638_V5_Muscle/outs/metrics_summary.csv"
13,"76638_V5",7807,48808,2724,381040696,97.6,53,95.8,93.3,NA,95.2,96.2,90.1,8.1,60.5,21.5,68.3,11.7,88.3,28446,6554,20211117,"SGLT2","76638_V5","Jia","no",NA,"/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76638_V5/outs/molecule_info.h5","/media/jianie/","SequencingFiles_3","20211105_L3_L4_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76638_V5/outs/metrics_summary.csv"
14,"76656_V5",7892,88054,1951,694920731,97.8,72.8,95.8,93.8,NA,95.1,96.5,87.4,8.1,56.6,22.7,65.5,12,46.2,27757,3454,20211117,"SGLT2","76656_V5","Jia",NA,NA,"/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76656_V5/outs/molecule_info.h5","/media/jianie/","SequencingFiles_3","20211105_L3_L4_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76656_V5/outs/metrics_summary.csv"
15,"ND_Young",3157,9613,1290,30349134,97.7,7.5,93.2,81.4,92.2,91.9,90.5,87.4,3.3,13.3,70.9,69.4,0.6,85.4,16894,4208,NA,"Aging_Mouse","ND_Young","Sean",NA,NA,"/media/jianie/Seagate_SequencingFiles_1/20190717_NextSeq_fastq_Counts/ND_Young/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20190717_NextSeq_fastq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20190717_NextSeq_fastq_Counts/ND_Young/outs/metrics_summary.csv"
16,"76658_V5",18608,35774,2151,665689450,97.5,54.2,95.8,94,NA,95.1,95.7,90.9,9,52.5,29.4,56.9,23.6,83.3,29571,4352,20211117,"SGLT2","76658_V5","Jia",NA,NA,"/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76658_V5/outs/molecule_info.h5","/media/jianie/","SequencingFiles_3","20211105_L3_L4_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76658_V5/outs/metrics_summary.csv"
17,"76638_V11",22333,27312,2006,609968498,97.6,56,95.7,94,NA,95.1,95.7,90.9,8,52.2,30.6,59.1,22.3,75.9,29520,3722,20211117,"SGLT2","76638_V11","Jia",NA,NA,"/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76638_V11/outs/molecule_info.h5","/media/jianie/","SequencingFiles_3","20211105_L3_L4_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76638_V11/outs/metrics_summary.csv"
18,"STARR_051_combine",10180,65165,3150,663376635,97.6,56.9,94.8,93.5,NA,94,94.6,88.6,8.1,59.7,20.7,68.7,9.8,66.6,28487,7778,20211117,"STARR","STARR_051","Jia","yes",NA,"/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/STARR_051_combine/outs/molecule_info.h5","/media/jianie/","SequencingFiles_3","20211105_L3_L4_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/STARR_051_combine/outs/metrics_summary.csv"
19,"STARR_049_combine",8403,65190,3410,547787375,97.4,59.8,94.7,93.4,NA,94.2,96.3,89.6,7.9,61.6,20.2,73.1,6.5,78.1,28206,9443,20211117,"STARR","STARR_049","Jia","yes",NA,"/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/STARR_049_combine/outs/molecule_info.h5","/media/jianie/","SequencingFiles_3","20211105_L3_L4_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/STARR_049_combine/outs/metrics_summary.csv"
20,"76632_V11_combine",6671,84128,2131,561219836,97.8,68.9,95.2,93.2,NA,94.6,94.8,87.3,8.6,57.9,20.8,68.4,8.3,70.3,28154,3880,20211117,"SGLT2","76632_V11","Jia","Yes",NA,"/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76632_V11_combine/outs/molecule_info.h5","/media/jianie/","SequencingFiles_3","20211105_L3_L4_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76632_V11_combine/outs/metrics_summary.csv"
21,"76632_V5_combine",8385,71572,4306,600134782,97,52.6,94.9,92.4,NA,94.4,94.6,87.7,8.3,60.2,19.2,68.5,8.9,81.2,29116,15172,20211117,"SGLT2","76632_V5","Jia","Yes",NA,"/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76632_V5_combine/outs/molecule_info.h5","/media/jianie/","SequencingFiles_3","20211105_L3_L4_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76632_V5_combine/outs/metrics_summary.csv"
22,"76638_V5_combine",8661,81616,3013,706875717,97.6,65.6,95.6,93.2,NA,95,96,90,8.1,60.3,21.5,68.2,11.7,88.6,28992,7875,20211117,"SGLT2","76638_V5","Jia","Yes",NA,"/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76638_V5_combine/outs/molecule_info.h5","/media/jianie/","SequencingFiles_3","20211105_L3_L4_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76638_V5_combine/outs/metrics_summary.csv"
23,"76638_V5_Muscle_combine",17819,46525,1478,829021637,96.8,73.4,95.2,91.8,NA,94.5,88,68.1,5.2,43.1,19.9,57.3,4.2,58,27001,2675,20211117,"SGLT2","76638_V5_Muscle","Jia","no",NA,"/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76638_V5_Muscle_combine/outs/molecule_info.h5","/media/jianie/","SequencingFiles_3","20211105_L3_L4_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76638_V5_Muscle_combine/outs/metrics_summary.csv"
24,"76643_V5_combine",3970,95753,1888,380140590,97.9,71.6,95.3,91.4,NA,94.7,92.5,84.8,8.5,56.9,19.5,66.8,7.6,74,27459,3098,20211117,"SGLT2","76643_V5","Jia","Yes",NA,"/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76643_V5_combine/outs/molecule_info.h5","/media/jianie/","SequencingFiles_3","20211105_L3_L4_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76643_V5_combine/outs/metrics_summary.csv"
26,"76647_V5_combine",14671,76420,3137,1121158581,97.1,49.6,94.9,90.6,NA,94.2,85,75.7,8.2,51.5,15.9,56.4,9.5,67.8,29865,7462,20211117,"SGLT2","76647_V5","Jia","Yes",NA,"/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76647_V5_combine/outs/molecule_info.h5","/media/jianie/","SequencingFiles_3","20211105_L3_L4_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76647_V5_combine/outs/metrics_summary.csv"
27,"ND_Old",5237,6347,830,33242211,97.7,6.3,93.4,82.5,91.7,92.1,88.6,86,4.6,22.2,59.2,57.4,0.9,73.8,16755,2029,NA,"Aging_Mouse","ND_Old","Sean",NA,NA,"/media/jianie/Seagate_SequencingFiles_1/20190717_NextSeq_fastq_Counts/ND_Old/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20190717_NextSeq_fastq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20190717_NextSeq_fastq_Counts/ND_Old/outs/metrics_summary.csv"
28,"76649_V5_combine",19785,74181,2016,1467668630,96.7,74.3,95.1,92.9,NA,94.3,95.7,90.5,7.4,60.8,22.3,53.8,27.9,83.4,30135,3644,20211117,"SGLT2","76649_V5","Jia","Yes",NA,"/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76649_V5_combine/outs/molecule_info.h5","/media/jianie/","SequencingFiles_3","20211105_L3_L4_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76649_V5_combine/outs/metrics_summary.csv"
29,"HFD_Young",6243,4668,662,29144480,97.6,6.8,93.4,79.7,91.9,92,87.5,84.4,5.2,19.2,60,58.3,0.8,76.4,17017,1559,NA,"Aging_Mouse","HFD_Young","Sean",NA,NA,"/media/jianie/Seagate_SequencingFiles_1/20190717_NextSeq_fastq_Counts/HFD_Young/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20190717_NextSeq_fastq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20190717_NextSeq_fastq_Counts/HFD_Young/outs/metrics_summary.csv"
30,"HFD_Old",4007,7849,1071,31454205,97.7,9,93.5,82.9,90.7,92.2,86.9,83.7,5.5,20.1,58.1,56.5,0.7,74.7,16834,2523,NA,"Aging_Mouse","HFD_Old","Sean",NA,NA,"/media/jianie/Seagate_SequencingFiles_1/20190717_NextSeq_fastq_Counts/HFD_Old/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20190717_NextSeq_fastq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20190717_NextSeq_fastq_Counts/HFD_Old/outs/metrics_summary.csv"
32,"NG_P16_ND",8843,70358,3434,622182632,98.1,58.4,95.2,92.8,94.2,95.1,95.4,93.8,3.2,19,71.6,69.6,0.6,95.3,19797,17385,NA,"ALCAT_Mouse","P16_ND","Sean",NA,NA,"/media/jianie/Seagate_SequencingFiles_1/20190816_NovaSeq_fastq_Counts/NG_P16_ND/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20190816_NovaSeq_fastq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20190816_NovaSeq_fastq_Counts/NG_P16_ND/outs/metrics_summary.csv"
33,"NG_P16_HFD",7695,68208,3597,524865392,98.1,55.2,95.3,92.9,89.7,95.1,95.4,93.7,3.8,20.3,69.7,67.7,0.5,91.9,19932,16377,NA,"ALCAT_Mouse","P16_HFD","Sean",NA,NA,"/media/jianie/Seagate_SequencingFiles_1/20190816_NovaSeq_fastq_Counts/NG_P16_HFD/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20190816_NovaSeq_fastq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20190816_NovaSeq_fastq_Counts/NG_P16_HFD/outs/metrics_summary.csv"
34,"NG_KO_ND",7102,76498,3819,543290237,98,56.9,95.3,92.9,92.1,95.1,95.7,94.1,3.3,19.1,71.7,69.7,0.6,94.8,19995,19021,NA,"ALCAT_Mouse","KO_ND","Sean",NA,NA,"/media/jianie/Seagate_SequencingFiles_1/20190816_NovaSeq_fastq_Counts/NG_KO_ND/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20190816_NovaSeq_fastq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20190816_NovaSeq_fastq_Counts/NG_KO_ND/outs/metrics_summary.csv"
35,"NG_KO_HFD",9756,72479,3778,707112448,98,53.8,95.3,92.7,93.4,95.1,95.3,93.6,2.9,15.4,75.2,73.2,0.6,95.4,20403,19895,NA,"ALCAT_Mouse","KO_HFD","Sean",NA,NA,"/media/jianie/Seagate_SequencingFiles_1/20190816_NovaSeq_fastq_Counts/NG_KO_HFD/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20190816_NovaSeq_fastq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20190816_NovaSeq_fastq_Counts/NG_KO_HFD/outs/metrics_summary.csv"
36,"NG_Rapa_Mar",4824,85504,2066,412472163,97.4,53.2,95.3,93.1,94.2,95.1,93.7,89.6,32.6,21.3,35.7,27.3,0.6,94.2,17748,8894,NA,"Marmoset","Rapa","Sean",NA,NA,"/media/jianie/Seagate_SequencingFiles_1/20190816_NovaSeq_fastq_Counts/NG_Rapa_Mar/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20190816_NovaSeq_fastq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20190816_NovaSeq_fastq_Counts/NG_Rapa_Mar/outs/metrics_summary.csv"
37,"P16-HFD",5622,6728,1114,37827317,98.1,7.8,94.9,84.8,92.9,93.8,94.5,92.7,3.4,20.2,69,67.4,0.6,89.6,17446,3339,NA,"ALCAT_Mouse","P16_HFD","Sean",NA,NA,"/media/jianie/Seagate_SequencingFiles_1/20190613_NextSeq_fastq_Counts/P16-HFD/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20190613_NextSeq_fastq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20190613_NextSeq_fastq_Counts/P16-HFD/outs/metrics_summary.csv"
38,"NG_STARR_015",7576,167660,3333,1270199026,97.6,79.5,96.7,92.3,96.4,96.4,90.3,82.9,9.5,0,73.3,65.4,4.5,71.2,26288,8667,NA,"STARR","STARR_015","Sean","no",NA,"/media/jianie/Seagate_SequencingFiles_1/20190912_NovaSeq_fastq_Counts/NG_STARR_015/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20190912_NovaSeq_fastq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20190912_NovaSeq_fastq_Counts/NG_STARR_015/outs/metrics_summary.csv"
39,"Forced_STARR_016",10000,58920,1395,589206059,97.5,76.1,96.8,93,94.7,96.6,95.6,92.5,9.5,0,83,75,4.4,86.9,25098,2326,NA,"STARR","STARR_016","Sean","no",NA,"/media/jianie/Seagate_SequencingFiles_1/20190912_NovaSeq_fastq_Counts/Forced_STARR_016/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20190912_NovaSeq_fastq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20190912_NovaSeq_fastq_Counts/Forced_STARR_016/outs/metrics_summary.csv"
40,"NG_STARR_016",5659,104118,3510,589206059,97.5,76.1,96.8,93,94.7,96.6,95.6,92.5,9.5,0,83,75,4.4,84.2,24972,11632,NA,"STARR","STARR_016","Sean","no",NA,"/media/jianie/Seagate_SequencingFiles_1/20190912_NovaSeq_fastq_Counts/NG_STARR_016/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20190912_NovaSeq_fastq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20190912_NovaSeq_fastq_Counts/NG_STARR_016/outs/metrics_summary.csv"
41,"NG_Buttons",10162,127712,2068,1297815258,98,57.9,96.7,93.4,96.1,96.5,92.5,87.7,38.7,18.5,30.5,21.3,0.7,95.3,18039,7090,NA,"Marmoset","Buttons","Sean",NA,NA,"/media/jianie/Seagate_SequencingFiles_1/20190912_NovaSeq_fastq_Counts/NG_Buttons/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20190912_NovaSeq_fastq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20190912_NovaSeq_fastq_Counts/NG_Buttons/outs/metrics_summary.csv"
